"Id","TagName","Count","ExcerptPostId","WikiPostId"
"1","online-relationships","13","531","530"
"4","public-issues","65","399","398"
"5","work-environment","261","111","110"
"7","friend-groups","59","65","64"
"9","memory","2","",""
"11","europe","74","338","337"
"13","irony","2","",""
"14","difficult-people","111","320","319"
"15","conflicts","170","336","335"
"16","sarcasm","2","4569","4568"
"21","email","32","229","228"
"22","conversations","520","383","382"
"24","introverts","22","2145","2144"
"26","conflict-aversion","321","385","384"
"31","approach","55","5336","5335"
"42","relationships","398","405","404"
"43","romance","68","447","446"
"46","speaking","8","",""
"47","anger","15","9669","9668"
"48","discussions","3","",""
"49","family","248","113","112"
"51","parents","107","576","575"
"52","autism","36","2209","2208"
"53","awkward-situations","272","108","107"
"57","rejection","8","4916","4915"
"61","united-states","405","342","341"
"62","public-transportation","26","312","311"
"65","delegation","2","",""
"67","tasks","4","",""
"68","personal-hygiene","18","427","426"
"69","leadership","6","",""
"70","shyness","13","401","400"
"71","saying-no","113","181","180"
"73","depression","28","442","441"
"74","online-interaction","86","304","303"
"76","college","24","1242","1241"
"78","humor","4","",""
"79","acquaintances","48","279","278"
"80","professionalism","31","1211","1210"
"81","friends","468","276","275"
"83","cars","7","317","316"
"84","groups","22","5054","5053"
"86","apologies","35","387","386"
"87","asperger","21","196","195"
"88","literal-language","3","",""
"89","introductions","12","4254","4253"
"91","age","8","231","230"
"92","honorifics","5","547","546"
"93","cross-culture","23","4907","4906"
"95","social-media","31","233","232"
"97","boundaries","120","600","599"
"98","extrovert","3","",""
"99","terminology","2","2655","2654"
"102","requests","17","5345","5344"
"104","strangers","60","1228","1227"
"106","dances","4","622","621"
"107","parties","27","306","305"
"108","flirting","12","",""
"110","religion","37","558","557"
"113","young-adults","4","967","966"
"115","phone-calls","32","4901","4900"
"117","rudeness","62","274","273"
"120","money","105","340","339"
"121","active-listening","4","4829","4828"
"122","grief","12","2995","2994"
"123","socializing","94","2143","2142"
"126","pressure","3","",""
"127","gender","37","1940","1939"
"128","courtesy","18","4558","4557"
"130","social-event","42","529","528"
"131","teenagers","13","454","453"
"132","stack-exchange","5","846","845"
"133","conventionality","4","",""
"134","argument","30","4825","4824"
"135","drunken-people","4","",""
"136","united-kingdom","161","344","343"
"137","responsibility","7","",""
"140","personal-information","14","4899","4898"
"144","eating","23","5334","5333"
"145","misunderstandings","17","4896","4895"
"146","sex","21","452","451"
"150","language","29","407","406"
"151","gifts","43","421","420"
"152","smoking-vaping","8","835","834"
"153","suicide","6","438","437"
"154","etiquette","152","535","534"
"156","disability","25","445","444"
"157","trust","17","841","840"
"158","betrayal","1","450","449"
"160","japan","13","461","460"
"161","service-personnel","5","",""
"163","restaurants","23","843","842"
"168","cultural-appropriation","5","",""
"169","clothing","5","1270","1269"
"177","taunts","2","",""
"178","exercise","6","839","838"
"179","greetings","26","4655","4654"
"185","driving","7","4622","4621"
"186","india","87","711","710"
"187","intention","2","",""
"188","peer-pressure","2","837","836"
"189","politeness","224","4556","4555"
"190","israel","9","829","828"
"191","accent","4","831","830"
"194","first-impressions","6","833","832"
"197","roommates","72","1413","1412"
"199","school","41","1230","1229"
"201","profanity","6","4827","4826"
"204","racial-issues","23","4191","4190"
"205","anxiety","24","11625","11624"
"207","social-cues","6","",""
"209","birthdays","25","1178","1177"
"211","indonesia","21","1238","1237"
"213","germany","91","1234","1233"
"214","supermarket","2","",""
"215","netherlands","53","1240","1239"
"216","privacy","22","4561","4560"
"217","instant-messaging","9","11904","11903"
"220","stuttering","2","",""
"223","bad-news","3","",""
"224","negotiation","12","4565","4564"
"225","france","36","1449","1448"
"226","argentina","1","1451","1450"
"227","academic-research","7","13108","13107"
"228","australia","29","1322","1321"
"229","making-friends","38","4903","4902"
"230","new-zealand","4","1453","1452"
"231","belgium","4","1401","1400"
"232","substance-abuse","5","",""
"233","intervention","3","",""
"234","texting","24","13541","13540"
"235","phone-usage","11","3409","3408"
"236","life-partner","13","4657","4656"
"237","divorce","6","4910","4909"
"238","canada","41","1447","1446"
"243","reserved-seats","3","4914","4913"
"244","hungary","2","1445","1444"
"245","children","44","4823","4822"
"246","maturity","3","",""
"247","invitations","30","1704","1703"
"248","weddings","13","1511","1510"
"250","activities","4","",""
"255","self-esteem","13","4567","4566"
"256","bangladesh","2","1575","1574"
"257","loans","3","",""
"259","united-arab-emirates","1","2659","2658"
"260","sharing","5","",""
"262","language-barriers","15","1660","1659"
"263","poland","5","2665","2664"
"265","shopping","7","",""
"267","ireland","11","2679","2678"
"269","sweden","6","2671","2670"
"270","mexico","3","2675","2674"
"272","siblings","19","2653","2652"
"273","volunteering","8","",""
"275","housemates","20","13539","13538"
"276","brazil","10","2667","2666"
"277","iran","3","2681","2680"
"278","meetings","6","",""
"280","bulgaria","2","2669","2668"
"281","bullying","14","4563","4562"
"283","authority-figures","4","",""
"285","harassment","13","4571","4570"
"286","switzerland","9","2673","2672"
"287","marriage","45","4905","4904"
"288","lebanon","1","2677","2676"
"289","teachers","19","6475","6474"
"290","training","4","",""
"291","egypt","1","2611","2610"
"292","mental-health","23","13298","13297"
"295","hong-kong","2","2657","2656"
"296","travelling","17","13546","13545"
"301","parenting","7","",""
"302","russia","7","4267","4266"
"303","illness","8","",""
"304","helping","19","2872","2871"
"305","lgbt+","44","2908","2907"
"306","written-interaction","7","2990","2989"
"307","how-to-help","55","2981","2980"
"308","act-of-kindness","4","",""
"309","compliments","15","9688","9687"
"310","turkey","1","4890","4889"
"311","high-school","13","20041","20040"
"315","customer-interactions","16","13544","13543"
"316","thailand","2","4884","4883"
"318","pakistan","10","3469","3468"
"319","inter-faith","1","3549","3548"
"321","prejudice","3","",""
"322","public-speaking","4","",""
"323","saying-thanks","5","",""
"324","chatting","9","",""
"325","employers","6","",""
"326","assertiveness","25","3760","3759"
"328","southern-europe","22","4882","4881"
"330","italy","7","4265","4264"
"332","presentation","3","4047","4046"
"333","reunions","3","",""
"335","grandparents","9","13343","13342"
"336","estranged-relations","7","",""
"339","politics","11","4912","4911"
"340","nepal","4","4171","4170"
"341","korea","5","4263","4262"
"342","denmark","3","4892","4891"
"343","explaining","9","",""
"344","fear","4","",""
"345","feminism","2","4548","4547"
"346","programmer","4","",""
"348","nickname","3","",""
"350","taboo","5","",""
"352","kazakhstan","2","4888","4887"
"353","colleagues","22","9671","9670"
"356","physical-health","9","13292","13291"
"357","malaysia","4","16931","16930"
"361","acceptable-behavior","17","",""
"362","pets","12","",""
"364","sexual-assault","3","",""
"365","singapore","5","6220","6219"
"366","respect","6","6478","6477"
"371","neighbors","54","8338","8337"
"372","elderly","4","",""
"373","safety","6","",""
"374","netiquette","5","6821","6820"
"375","china","5","6973","6972"
"376","austria","7","7019","7018"
"377","flatmate","4","",""
"378","eastern-asia","3","",""
"379","holidays","5","",""
"384","reconnecting","6","",""
"393","students","10","",""
"395","personal-space","6","",""
"397","south-east-asia","4","",""
"398","abuse","9","9963","9962"
"399","feedback-methods","3","",""
"400","friendship","60","",""
"401","coworkers","100","13537","13536"
"403","east-africa","2","",""
"404","non-verbal-communication","18","15846","15845"
"405","games","13","",""
"407","sexual-harassment","4","",""
"408","south-asia","2","13339","13338"
"410","nordic-countries","1","11858","11857"
"411","latin-america","2","13341","13340"
"412","jealousy","14","11977","11976"
"413","de-escalation","2","",""
"414","in-laws","8","13345","13344"
"415","criticism","8","",""
"416","ukraine","1","13337","13336"
"419","empathy","2","",""
"420","persuasion","3","",""
"425","south-america","1","13335","13334"
"427","non-violent-communication","4","13570","13569"
"435","job","7","",""
"437","polyamory","3","14587","14586"
"438","interpersonal-theories","2","",""
"441","business","5","",""
"444","gossip","3","",""
"445","narcissists","5","16867","16866"
"446","dining","1","",""
"447","platonic-crush","1","",""
"448","tunisia","1","17060","17059"
"449","sidewalk","1","",""
"450","toxic-people","2","",""
"451","household","2","",""
"452","long-distance","3","",""
"453","chores","3","",""
"458","taxi","1","",""
"459","tipping","3","",""
"460","gym","2","",""
"461","south-africa","3","",""
"462","encouraging","1","",""
"466","punctuality","1","",""
"469","queueing","6","18934","18933"
"470","work-life-balance","1","",""
"472","music","1","",""
"474","composure","1","",""
"475","teasing","10","19995","19994"
